County Name,"Median HomePrice Q2 2017","MonthlyPayment(r=4.5%)","MonthlyPayment(r=5.0%)","MonthlyPayment(r=5.5%)"
"San Francisco County,  California","$        1,272,168","$        5,801","$        6,146","$        6,501"
"San Mateo County,  California","$        1,252,580","$        5,712","$        6,052","$        6,401"
"Marin County,  California","$        1,168,353","$        5,328","$        5,645","$        5,970"
"Santa Clara County,  California","$        1,112,008","$        5,071","$        5,373","$        5,682"
"Nantucket County,  Massachusetts","$        1,046,929","$        4,774","$        5,058","$        5,350"
"New York County,  New York","$        1,033,669","$        4,714","$        4,994","$        5,282"
"Alameda County,  California","$            899,885","$        4,104","$        4,348","$        4,599"
"Santa Cruz County,  California","$           844,402","$        3,851","$        4,080","$        4,315"
"Falls Church city,  Virginia","$           787,396","$        3,591","$        3,804","$        4,024"
"Arlington County,  Virginia","$            780,073","$        3,557","$        3,769","$        3,986"
"Teton County,  Wyoming","$           772,365","$        3,522","$        3,732","$        3,947"
"Orange County,  California","$           747,758","$        3,410","$        3,613","$        3,821"
"Kings County,  New York","$            743,191","$        3,389","$        3,591","$        3,798"
"Contra Costa County,  California","$            740,072","$        3,375","$        3,576","$        3,782"
"Dukes County,  Massachusetts","$            709,166","$        3,234","$        3,426","$        3,624"
"Honolulu County,  Hawaii","$            709,056","$        3,233","$        3,426","$        3,623"
"Maui County,  Hawaii","$            698,944","$        3,187","$        3,377","$        3,572"
"Sonoma County,  California","$           694,882","$        3,169","$        3,357","$        3,551"
"Napa County,  California","$            677,850","$        3,091","$        3,275","$        3,464"
"Pitkin County,  Colorado","$            662,964","$        3,023","$        3,203","$        3,388"
"Los Angeles County,  California","$            647,932","$        2,955","$        3,130","$        3,311"
"District of Columbia,  District of Columbia","$            644,349","$        2,938","$        3,113","$        3,293"
"King County,  Washington","$           636,990","$        2,905","$        3,078","$        3,255"
"Summit County,  Utah","$           628,648","$        2,867","$        3,037","$        3,212"
"Ventura County,  California","$            623,647","$        2,844","$        3,013","$        3,187"
"San Luis Obispo County,  California","$            619,565","$        2,825","$        2,993","$        3,166"
"Summit County,  Colorado","$            611,701","$        2,789","$        2,955","$        3,126"
"San Diego County,  California","$           611,062","$        2,787","$        2,952","$        3,123"
"Kauai County,  Hawaii","$            610,800","$        2,785","$        2,951","$        3,121"
"Alexandria city,  Virginia","$           608,268","$        2,774","$        2,939","$        3,108"
"Santa Barbara County,  California","$            606,728","$        2,767","$        2,931","$        3,100"
"Fairfax County,  Virginia","$            601,689","$        2,744","$        2,907","$        3,075"
"Westchester County,  New York","$            580,109","$        2,645","$        2,803","$        2,964"
"Queens County,  New York","$           577,991","$        2,636","$        2,793","$        2,954"
"Monterey County,  California","$           569,751","$        2,598","$        2,753","$        2,911"
"Boulder County,  Colorado","$            556,326","$        2,537","$        2,688","$        2,843"
"Monroe County,  Florida","$            556,173","$        2,536","$        2,687","$        2,842"
"Middlesex County,  Massachusetts","$            550,958","$        2,512","$        2,662","$        2,815"
"San Miguel County,  Colorado","$           541,674","$        2,470","$        2,617","$        2,768"
"Loudoun County,  Virginia","$            539,928","$        2,462","$        2,609","$        2,759"
"Suffolk County,  Massachusetts","$           535,130","$        2,440","$        2,585","$        2,735"
"Fairfax city,  Virginia","$            532,606","$        2,429","$        2,573","$        2,722"
"Richmond County,  New York","$            530,866","$        2,421","$        2,565","$        2,713"
"Eagle County,  Colorado","$            526,150","$        2,399","$        2,542","$        2,689"
"Douglas County,  Colorado","$            522,315","$        2,382","$        2,524","$        2,669"
"Nassau County,  New York","$            518,794","$        2,366","$        2,506","$        2,651"
"El Dorado County,  California","$            518,090","$        2,363","$        2,503","$        2,647"
"Routt County,  Colorado","$           514,423","$        2,346","$        2,485","$        2,629"
"Placer County,  California","$            514,029","$        2,344","$        2,483","$        2,627"
"Norfolk County,  Massachusetts","$           509,719","$        2,324","$        2,463","$        2,605"
"Montgomery County,  Maryland","$            507,032","$        2,312","$        2,450","$        2,591"
"San Juan County,  Washington","$           505,740","$        2,306","$        2,443","$        2,584"
"Williamson County,  Tennessee","$            501,967","$        2,289","$        2,425","$        2,565"
"Bergen County,  New Jersey","$           498,038","$        2,271","$        2,406","$        2,545"
"Morris County,  New Jersey","$            489,672","$        2,233","$        2,366","$        2,502"
"Yolo County,  California","$            472,327","$        2,154","$        2,282","$        2,414"
"Ouray County,  Colorado","$            469,749","$        2,142","$        2,270","$        2,400"
"Nevada County,  California","$           466,827","$        2,129","$        2,255","$        2,386"
"Rockland County,  New York","$            464,998","$        2,120","$        2,247","$        2,376"
"Broomfield County,  Colorado","$            464,057","$        2,116","$        2,242","$        2,371"
"Howard County,  Maryland","$            463,227","$        2,112","$        2,238","$        2,367"
"Snohomish County,  Washington","$            461,015","$        2,102","$        2,227","$        2,356"
"Solano County,  California","$            458,583","$        2,091","$        2,216","$        2,343"
"Jefferson County,  Colorado","$            454,589","$        2,073","$        2,196","$        2,323"
"Somerset County,  New Jersey","$           449,960","$        2,052","$        2,174","$        2,299"
"Monmouth County,  New Jersey","$            446,571","$        2,036","$        2,158","$        2,282"
"Denver County,  Colorado","$            440,108","$        2,007","$        2,126","$        2,249"
"Mendocino County,  California","$            437,677","$        1,996","$        2,115","$        2,237"
"Essex County,  Massachusetts","$            436,610","$        1,991","$        2,109","$        2,231"
"Clackamas County,  Oregon","$            436,075","$        1,989","$        2,107","$        2,228"
"Barnstable County,  Massachusetts","$           436,005","$        1,988","$        2,107","$        2,228"
"Fairfield County,  Connecticut","$            435,477","$        1,986","$        2,104","$        2,225"
"Blaine County,  Idaho","$           429,565","$        1,959","$        2,075","$        2,195"
"Hunterdon County,  New Jersey","$            429,098","$        1,957","$        2,073","$        2,193"
"Washington County,  Oregon","$           425,071","$        1,938","$        2,054","$        2,172"
"Multnomah County,  Oregon","$            424,963","$        1,938","$        2,053","$        2,172"
"Bronx County,  New York","$            423,909","$        1,933","$        2,048","$        2,166"
"Elbert County,  Colorado","$           423,288","$        1,930","$        2,045","$        2,163"
"Newport County,  Rhode Island","$            422,705","$        1,928","$        2,042","$        2,160"
"Suffolk County,  New York","$           417,873","$        1,906","$        2,019","$        2,135"
"Fauquier County,  Virginia","$            413,966","$        1,888","$        2,000","$        2,115"
"Arapahoe County,  Colorado","$            408,027","$        1,861","$        1,971","$        2,085"
"Island County,  Washington","$           406,784","$        1,855","$        1,965","$        2,079"
"Deschutes County,  Oregon","$            404,646","$        1,845","$        1,955","$        2,068"
"Whatcom County,  Washington","$           404,200","$        1,843","$        1,953","$        2,066"
"Prince William County,  Virginia","$            401,975","$        1,833","$        1,942","$        2,054"
"Essex County,  New Jersey","$           401,777","$        1,832","$        1,941","$        2,053"
"Hudson County,  New Jersey","$            400,082","$        1,824","$        1,933","$        2,044"
"La Plata County,  Colorado","$            398,382","$        1,817","$        1,925","$        2,036"
"Plymouth County,  Massachusetts","$            396,341","$        1,807","$        1,915","$        2,025"
"Wasatch County,  Utah","$            391,648","$        1,786","$        1,892","$        2,001"
"Forsyth County,  Georgia","$            391,587","$        1,786","$        1,892","$        2,001"
"Union County,  New Jersey","$            391,081","$        1,783","$        1,889","$        1,998"
"San Joaquin County,  California","$           390,423","$        1,780","$        1,886","$        1,995"
"Riverside County,  California","$            388,215","$        1,770","$        1,876","$        1,984"
"Sacramento County,  California","$           387,826","$        1,769","$        1,874","$        1,982"
"Collier County,  Florida","$           384,575","$        1,754","$        1,858","$        1,965"
"Chester County,  Pennsylvania","$           384,436","$        1,753","$        1,857","$        1,965"
"Benton County,  Oregon","$            383,621","$        1,749","$        1,853","$        1,960"
"Putnam County,  New York","$            380,915","$        1,737","$        1,840","$        1,947"
"Washoe County,  Nevada","$            379,957","$        1,733","$        1,836","$        1,942"
"Gallatin County,  Montana","$            377,592","$        1,722","$        1,824","$        1,930"
"Calvert County,  Maryland","$           377,143","$        1,720","$        1,822","$        1,927"
